,item_type,quote,first_tag,second_tag,third_tag,fourth_tag,fifth_tag,author
0,http://schema.org/CreativeWork,€œThe world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.â€,change,deep-thoughts,thinking,world,No Tag,Albert Einstein
1,http://schema.org/CreativeWork,"€œIt is our choices, Harry, that show what we truly are, far more than our abilities.â€",abilities,choices,No Tag,No Tag,No Tag,J.K. Rowling
2,http://schema.org/CreativeWork,€œThere are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.â€,inspirational,life,live,miracle,miracles,Albert Einstein
3,http://schema.org/CreativeWork,"€œThe person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.â€",aliteracy,books,classic,humor,No Tag,Jane Austen
4,http://schema.org/CreativeWork,"€œImperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.â€",be-yourself,inspirational,No Tag,No Tag,No Tag,Marilyn Monroe
5,http://schema.org/CreativeWork,€œTry not to become a man of success. Rather become a man of value.â€,adulthood,success,value,No Tag,No Tag,Albert Einstein
6,http://schema.org/CreativeWork,€œIt is better to be hated for what you are than to be loved for what you are not.â€,life,love,No Tag,No Tag,No Tag,AndrÃ© Gide
7,http://schema.org/CreativeWork,"€œI have not failed. I've just found 10,000 ways that won't work.â€",edison,failure,inspirational,paraphrased,No Tag,Thomas A. Edison
8,http://schema.org/CreativeWork,€œA woman is like a tea bag; you never know how strong it is until it's in hot water.â€,misattributed-eleanor-roosevelt,No Tag,No Tag,No Tag,No Tag,Eleanor Roosevelt
9,http://schema.org/CreativeWork,"€œA day without sunshine is like, you know, night.â€",humor,obvious,simile,No Tag,No Tag,Steve Martin
